Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-78-7152-01A-11D-2036-08	84	3	15	6	98
TCGA-78-7153-01A-11D-2036-08	35	13	3	13	40
TCGA-78-7154-01A-11D-2036-08	57	31	8	30	140
TCGA-78-7155-01A-11D-2036-08	1280	10	43	85	162
TCGA-78-7156-01A-11D-2036-08	122	7	20	10	153
TCGA-78-7158-01A-11D-2036-08	160	14	14	10	50
TCGA-78-7160-01A-11D-2036-08	11	2	4	12	12
TCGA-78-7161-01A-11D-2036-08	142	12	0	23	21
TCGA-78-7162-01A-21D-2063-08	46	0	0	16	25
TCGA-78-7163-01A-12D-2063-08	6	7	6	0	0
TCGA-78-7166-01A-12D-2063-08	208	0	0	32	0
TCGA-78-7167-01A-11D-2063-08	37	12	6	9	36
TCGA-78-7220-01A-11D-2036-08	648	5	23	49	164
TCGA-78-7535-01A-11D-2063-08	141	4	3	22	14
TCGA-78-7536-01A-11D-2063-08	588	24	0	0	41
TCGA-78-7539-01A-11D-2063-08	131	23	23	17	321
TCGA-78-7540-01A-11D-2063-08	6	14	5	4	1
TCGA-78-7542-01A-21D-2063-08	307	14	14	10	40
TCGA-78-7633-01A-11D-2063-08	87	3	2	6	11
TCGA-78-8640-01A-11D-2393-08	476	24	18	73	166
TCGA-78-8648-01A-11D-2393-08	7	0	0	0	0
TCGA-78-8655-01A-11D-2393-08	68	11	5	9	12
TCGA-78-8662-01A-11D-2393-08	991	0	0	90	145
TCGA-80-5607-01A-31D-1945-08	0	0	0	0	131
TCGA-80-5608-01A-31D-1945-08	145	19	0	0	16
TCGA-80-5611-01A-01D-1625-08	113	3	5	51	26
TCGA-83-5908-01A-21D-2284-08	130	13	0	0	102
TCGA-86-6562-01A-11D-1753-08	18	14	0	0	21
TCGA-86-6851-01A-11D-1945-08	778	0	0	0	140
TCGA-86-7701-01A-11D-2167-08	168	8	11	9	8
TCGA-86-7711-01A-11D-2063-08	116	9	9	30	67
TCGA-86-7713-01A-11D-2063-08	131	11	2	1	15
TCGA-86-7954-01A-11D-2184-08	114	22	10	26	48
TCGA-86-7955-01A-11D-2184-08	243	26	0	0	59
TCGA-86-8055-01A-11D-2238-08	0	20	7	0	17
TCGA-86-8056-01A-11D-2238-08	62	12	23	7	183
TCGA-86-8073-01A-11D-2238-08	1345	7	6	62	133
TCGA-86-8074-01A-11D-2238-08	30	10	2	12	17
TCGA-86-8075-01A-11D-2238-08	4	17	3	11	7
TCGA-86-8076-01A-31D-2238-08	21	8	1	7	30
TCGA-86-8279-01A-11D-2284-08	453	3	6	52	29
TCGA-86-8280-01A-11D-2284-08	13	8	2	17	8
TCGA-86-8281-01A-11D-2284-08	176	8	12	37	34
TCGA-86-8359-01A-11D-2323-08	138	17	0	0	15
TCGA-86-8585-01A-11D-2393-08	409	4	26	30	125
TCGA-86-8668-01A-11D-2393-08	0	19	0	0	12
TCGA-86-8669-01A-11D-2393-08	91	17	18	0	15
